name,description,prompt
"Loose Braids","This Loose braiding is with natural hair only","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in loose natural braids — free-flowing, unextended braids showing the natural texture and thickness of her unmanipulated hair. The subject is captured in a relaxed side profile, hair falling naturally, with a free-spirited, joyful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck warm caramel ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Natural Hair Braids","Braid your natural hair. Medium Size No extensions added","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in medium-sized natural hair braids with no extensions — clean, precise braids showing the full beauty of her natural hair texture. The subject is captured in a 45-degree profile, looking off-camera, with a confident and composed expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Mini braids","Moisturizing and Detangling comes with extra fee","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in mini braids — small, precisely parted braids covering the entire head in a neat, intricate pattern. The subject is captured facing directly forward, slight chin tilt up, with a bold and radiant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep burgundy ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"African Threading / KiKo","This is done with wool or thread. You are to provide the tread or wool, we make the hair ink, any style of threading","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in African threading (KiKo) — sections wrapped tightly in black wool thread, creating a striking sculptural look that stretches the natural hair. The subject is captured in a direct front-facing shot, head held high, with a proud and culturally expressive expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck burnt orange ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Some gaps threading (Usual/big cuts)","Hair threading (with gaps) We don't sell beads Attaching of clients beads attracts extra 500","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in traditional African threading with spaced-out sections (big cuts) — each threaded section separated by visible gaps, creating an architectural, graphic pattern. The subject is captured in a full side profile to show the threading silhouette, with a regal and poised expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck olive green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Some gaps threading SAT(Small Cutting)","Small cuts We don't sell beads, attaching of clients beads attracts extra 500","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in SAT (Small Cutting) threading — densely packed small sections of thread-wrapped hair creating an intricate, geometric pattern across the entire head. The subject is captured in a slight overhead three-quarter angle to showcase the pattern, with a composed and elegant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal grey ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"SAT with weaves","Threading with weaves (cornrows)","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair features SAT threading at the crown transitioning into cornrow weaves at the base — a creative mix of thread-wrapped sections and neat braided rows. The subject is captured in a 45-degree profile highlighting both the top and sides, with a serene and artful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Natural hair twists loosening","Medium sized twists, only available Tuesdays, Wednesdays, Thursdays and Fridays NOT Saturdays and Sundays please. You won't be attended to if defaulted. Fuller and longer hair attracts more by our discretion.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in medium-length two-strand twists — showcasing the style just before the loosening process, with well-defined, moisturised twists. The subject is captured in a relaxed three-quarter profile, with a calm and natural expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck sage green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Mini twists loosening","Mini sized twists, only available Tuesdays, Wednesdays, Thursdays and Friday. Saturdays and Sundays please. You won't be attended to if defaulted. Fuller and longer hair attracts more at our discretion.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in mini twists — showcasing the style before the loosening process, with densely packed fine twists that show beautiful definition and natural texture. The subject is captured in a 45-degree profile, looking softly off-camera, with a gentle and content expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck dusty mauve ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Micro twists loosening","Micro sized twists, (this comes with washing and moisturising) only available Tuesdays, Wednesdays and Thursdays and Fridays, NOT Saturdays and Sundays please. You won't be attended to if defaulted. Fuller and longer hair attracts more at our discretion.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in micro twists — extremely fine, densely packed twists shown before the loosening process begins. The subject is captured facing slightly away from camera in a three-quarter back view, with a graceful, contemplative posture. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Cornrows loosening (10 pieces)","Loosening of cornrows, Just 10 pieces. More than attracts extra cost at our discretion.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in cornrows — clean, flat braids going all the way back, shown just before the loosening process. The subject is captured in a slight overhead side view to reveal the cornrow pattern, with a relaxed and natural expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck light grey ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Extension loosening","Loosening of braids (extensions) is from 4,000","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in extension braids — full, long braids with added extensions, photographed at the end of their wear before being removed. The subject is captured in a side three-quarter profile, hair falling over one shoulder, with a soft and serene expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep teal ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Loosening(Natural Braids)","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in natural braids — medium-sized braids made without extensions, in their final days of wear. The subject is captured in a relaxed front-facing pose, head tilted slightly, with an effortless, natural expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck warm terracotta ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Natural mini braids loosening","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in natural mini braids — small, tight braids with no extensions, captured before the loosening process. The subject is captured in a 45-degree profile, with a serene expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck dusty rose ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"SAT(Small Cutting)loosening","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is shown in SAT (Small Cutting) threading — intricate thread-wrapped sections before removal, showcasing the detailed craftsmanship of the style. The subject is captured in a side profile highlighting the threading pattern, with a composed and regal expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck olive ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Pony Tail (Packing gel) - Kids ","This is a simple style , where you put a ponytail where the hair is packed together. This mostly comes with blow drying to straighten the hair.","A hyper-realistic professional beauty studio portrait of a young Nigerian girl, around 8-10 years old,. Her hair is styled in a neat ponytail with packing gel — smoothly laid edges, a sleek high ponytail, and a polished, tidy finish. The subject is captured facing the camera with a bright, cheerful expression, with a playful and confident smile. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck white ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Pony Tail (Packing gel)","This is a simple style , where you put a ponytail where the hair is packed together. This mostly comes with blow drying to straighten the hair.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in a sleek packing gel ponytail — edges perfectly laid with gel, hair gathered into a smooth, high ponytail showing clean definition and shine. The subject is captured in a side profile to show the sleek lines of the ponytail, with a polished and confident expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal grey ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Shuku - Jumbo sized Shuku","Shuku as a protective hairstyle","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in a Jumbo Shuku — a large, commanding upswept traditional Nigerian protective style with hair gathered and wrapped high at the crown in a bold, sculptural form. The subject is captured facing directly forward, head held high and proud, with a bold, regal and commanding expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck burnt orange ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Shuku - Medium sized Shuku","Shuku as a protective hairstyle","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in a medium Shuku — a classic Nigerian upswept protective style with neatly gathered and wrapped hair at the crown, balanced and elegant. The subject is captured in a 45-degree profile, looking serenely off-camera, with an elegant and composed expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep forest green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Shuku - Mini sized Shuku","Shuku as a protective hairstyle","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in a Mini Shuku — a refined, smaller version of the traditional Nigerian Shuku, with delicately gathered and wrapped hair at the crown. The subject is captured in a gentle three-quarter profile, with a soft and graceful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"African Fluffy Style","This is a very native African hairstyle that can be described as braids and fluffs. It is done on natural hair only. If you want something bold and unique for occasions to show off your beautiful African hair, this is your hairstyle.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in the African Fluffy Style — a bold, native African style featuring braids combined with puffed-out fluffy sections, creating a dramatic, voluminous crown. The subject is captured facing directly forward, head tilted confidently, with a bold, celebratory and joyful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep burgundy ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Stylish Cornrows For Men","This is a special, stylish cornrow done with natural hair only","A hyper-realistic professional beauty studio portrait of a young Nigerian man. His hair is styled in stylish cornrows — clean, geometric cornrow patterns made with natural hair only, showing precision line work and sharp partings. The subject is captured in a direct front-facing pose, slight chin tilt, with a cool and confident expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck black ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Natural hair Updos (Roll & Tuck)","Natural hair roll and tuck","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in a natural hair roll and tuck updo — hair artfully gathered, rolled, and tucked into an elegant bun or upswept style showing the natural texture beautifully. The subject is captured in a three-quarter profile facing slightly upward, with a graceful and sophisticated expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck dusty rose ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Bantu knots","Beautiful African hairstyle","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in Bantu knots — small, tightly coiled sections wound into neat round knot formations all over the head, creating a stunning geometric pattern. The subject is captured in a slight overhead front-facing angle to reveal all the knots, with a radiant and culturally proud expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck burnt orange ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Cornrows (weaves)","All back weaves(not more than 10) Buns Gel packing Low bun","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in all-back cornrows with weave — neat, flat braids going straight back from the hairline, using thread or extensions for a sleek, clean finish. The subject is captured turned slightly away, three-quarter back view to show the full cornrow pattern, with a relaxed and natural posture. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck olive green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Cornrows (weaves) - Cornrow ","All back weaves(not more than 10) Buns Gel packing Low bun","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in a cornrow style — showing one clean cornrow as a detail or accent braid, highlighting the precision of the technique against her natural hair. The subject is captured in a close three-quarter side profile, with a focused and elegant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Cornrows (weaves) - Cornrows","All back weaves(not more than 10) Buns Gel packing Low bun","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in multiple cornrows — a full head of neat, flat cornrow braids showing symmetrical parting and clean braid work. The subject is captured slightly overhead angle to showcase the cornrow parting pattern, with a proud and composed expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck deep teal ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Natural hair updo with blow drying","To blow dry before styling","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her hair is styled in an elegant natural hair updo after blow drying — a lifted, voluminous style with the hair stretched and arranged into a beautiful sculptural shape. The subject is captured in a three-quarter profile with chin lifted, with a sophisticated and refined expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory cream ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Washing, Moisturizing, Detangling with Dandruff Treatments ","This is a one-time dandruff treatment","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is freshly washed and styled, showing healthy scalp and moisturised coils — an intimate studio close-up portrait emphasising scalp health and hair vitality. The subject is captured in a close overhead angle, hair visible and loose, with a relaxed and refreshed expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck soft white ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Washing, Ayurvedic with Deep Conditioning (Treatment), Moisturizing and Detangling ","Washing,deep conditioning with Ayurvedic and moisturising& Detangling When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown freshly treated with an Ayurvedic deep conditioning treatment — luscious, moisturised coils with visible shine and definition. The subject is captured in a front-facing direct gaze, hair worn loose and natural, with a glowing and serene expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck sage green ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Washing, Moisturizing, Detangling with Intense Deep Conditioning (Moisturizing Treatment)","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown post-intense deep conditioning — beautifully moisturised, defined coils with an impressive sheen and healthy texture. The subject is captured in a 45-degree profile, hair loose and free, with a content and radiant expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck dusty rose ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Trimming only","Trimming weak ends When Detangling and the hair is very tangled it attracts an extra fee.","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Macro-level detail on the hair ends. A close-up studio portrait showing freshly trimmed natural hair ends — healthy, even ends with no split or damaged tips, showing the result of a careful precision trim. The subject is captured in a close side profile focusing on the hair length and ends, with a calm and trusting expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck ivory ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
"Blow Drying","","A hyper-realistic professional beauty studio portrait of a young Nigerian woman. Her natural hair is shown after blow drying — a full, stretched afro with length revealed, showing incredible volume and healthy texture. The subject is captured in a direct front-facing pose with hair fully stretched outward, with a bold and powerful expression. Their skin has natural, realistic texture with subtle highlights and soft shadows. They are wearing a simple, high-neck charcoal ribbed turtleneck sweater with no jewelry, ensuring the focus remains entirely on the hair. The background is a clean, uniform, light grey-white studio backdrop with soft, diffused lighting. Shot on a medium-format camera, 85mm lens, high resolution, sharp focus on the hair and facial features, 9:16 aspect ratio."
